
Epoch 1:
features.1.0.weight: max=0.022400, mean=0.002213
features.1.0.bias: max=0.000000, mean=0.000000
features.1.1.weight: max=0.035215, mean=0.010315
features.1.1.bias: max=0.034538, mean=0.006779
features.2.0.weight: max=0.013300, mean=0.001030
features.2.0.bias: max=0.000000, mean=0.000000
features.2.1.weight: max=0.029803, mean=0.006467
features.2.1.bias: max=0.022351, mean=0.005496
features.3.0.weight: max=0.008372, mean=0.000421
features.3.0.bias: max=0.000000, mean=0.000000
features.3.1.weight: max=0.022215, mean=0.004994
features.3.1.bias: max=0.015762, mean=0.003294
features.4.0.conv1.weight: max=0.003694, mean=0.000195
features.4.0.bn1.weight: max=0.020808, mean=0.004354
features.4.0.bn1.bias: max=0.017600, mean=0.003339
features.4.0.conv2.weight: max=0.002806, mean=0.000112
features.4.0.bn2.weight: max=0.008771, mean=0.001671
features.4.0.bn2.bias: max=0.007074, mean=0.001613
features.5.0.conv1.weight: max=0.001139, mean=0.000063
features.5.0.bn1.weight: max=0.010668, mean=0.001759
features.5.0.bn1.bias: max=0.008473, mean=0.001217
features.5.0.conv2.weight: max=0.000623, mean=0.000037
features.5.0.bn2.weight: max=0.003371, mean=0.000800
features.5.0.bn2.bias: max=0.004888, mean=0.001421
classifier.weight: max=0.037609, mean=0.006120
classifier.bias: max=0.011963, mean=0.005083

Epoch 6:
features.0.0.weight: max=0.168810, mean=0.034443
features.0.0.bias: max=0.000000, mean=0.000000
features.0.1.weight: max=0.063421, mean=0.011709
features.0.1.bias: max=0.036272, mean=0.007892
features.1.0.weight: max=0.032789, mean=0.002447
features.1.0.bias: max=0.000000, mean=0.000000
features.1.1.weight: max=0.045003, mean=0.010022
features.1.1.bias: max=0.023265, mean=0.006302
features.2.0.weight: max=0.017409, mean=0.001055
features.2.0.bias: max=0.000000, mean=0.000000
features.2.1.weight: max=0.024005, mean=0.006348
features.2.1.bias: max=0.017440, mean=0.005412
features.3.0.weight: max=0.009957, mean=0.000479
features.3.0.bias: max=0.000000, mean=0.000000
features.3.1.weight: max=0.029130, mean=0.005558
features.3.1.bias: max=0.012387, mean=0.003142
features.4.0.conv1.weight: max=0.005468, mean=0.000209
features.4.0.bn1.weight: max=0.021792, mean=0.003969
features.4.0.bn1.bias: max=0.017180, mean=0.002931
features.4.0.conv2.weight: max=0.002720, mean=0.000110
features.4.0.bn2.weight: max=0.009022, mean=0.001703
features.4.0.bn2.bias: max=0.008798, mean=0.001447
features.5.0.conv1.weight: max=0.001764, mean=0.000065
features.5.0.bn1.weight: max=0.013133, mean=0.001984
features.5.0.bn1.bias: max=0.006702, mean=0.001158
features.5.0.conv2.weight: max=0.000688, mean=0.000035
features.5.0.bn2.weight: max=0.004969, mean=0.000999
features.5.0.bn2.bias: max=0.004516, mean=0.001331
classifier.weight: max=0.049456, mean=0.005897
classifier.bias: max=0.012440, mean=0.004165

Epoch 7:
features.0.0.weight: max=0.216175, mean=0.033882
features.0.0.bias: max=0.000000, mean=0.000000
features.0.1.weight: max=0.015875, mean=0.006479
features.0.1.bias: max=0.022097, mean=0.006557
features.1.0.weight: max=0.022687, mean=0.002033
features.1.0.bias: max=0.000000, mean=0.000000
features.1.1.weight: max=0.026868, mean=0.007367
features.1.1.bias: max=0.020372, mean=0.005445
features.2.0.weight: max=0.014035, mean=0.000851
features.2.0.bias: max=0.000000, mean=0.000000
features.2.1.weight: max=0.017206, mean=0.005353
features.2.1.bias: max=0.015384, mean=0.005009
features.3.0.weight: max=0.004634, mean=0.000345
features.3.0.bias: max=0.000000, mean=0.000000
features.3.1.weight: max=0.017237, mean=0.004131
features.3.1.bias: max=0.008711, mean=0.002549
features.4.0.conv1.weight: max=0.002493, mean=0.000151
features.4.0.bn1.weight: max=0.015124, mean=0.003124
features.4.0.bn1.bias: max=0.009116, mean=0.002337
features.4.0.conv2.weight: max=0.001759, mean=0.000085
features.4.0.bn2.weight: max=0.005400, mean=0.001304
features.4.0.bn2.bias: max=0.004792, mean=0.001235
features.5.0.conv1.weight: max=0.000939, mean=0.000051
